source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,bp_rp,bp_g,g_rp,radial_velocity,radial_velocity_error,phot_variable_flag,target_id,target_ra,target_dec,target_separation (deg)
1236250127917190272,222.48808334648714,17.291468208339214,1.6302938990192535,0.10975923,-17.65985612520838,0.12487082,-3.743248270280398,0.10911349,17.719517,0.11457634,0.05954933,0.055027008,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,4.1643545894924385E-5
1236250123621985024,222.49020669474749,17.29144151312523,0.42549372453645457,0.23024832,-7.33704942218302,0.259152,1.4564712155455442,0.2295909,18.777185,0.8945484,0.3686924,0.525856,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.0019879961931509437
1236250123621987072,222.487283267455,17.295550731500565,1.1122857490796698,0.14853583,10.989217505582788,0.18112405,-33.20560011691942,0.14787218,18.215778,1.4736385,0.70450974,0.7691288,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.004148763222251053
1236250162276928896,222.49344693188894,17.29839386985004,0.7730808218803484,0.76364195,-1.3867591106187256,0.97662544,-14.909957919106805,0.7474642,20.20711,2.2553902,1.0424328,1.2129574,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.008579839379561286
1236250157981727744,222.49923210462498,17.300081859651108,0.22977615026566864,0.44836208,-15.514285616128877,0.51893926,10.394732531615709,0.42452937,19.739258,2.134964,1.186388,0.948576,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.01365451304268115
1236250089262248320,222.50199449279563,17.295344580288525,0.728652188357624,0.5269985,-0.20419445067037723,0.6961081,-7.171330595881725,0.53510296,20.148388,1.9721241,0.89759254,1.0745316,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.013794748261000859
1236250024837974656,222.47663493438336,17.274601333569223,3.799312814504092,0.11864379,4.407838369554062,0.13583799,-59.72829447507749,0.105503134,17.609455,2.4681587,1.2403736,1.2277851,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.020131493022921568
1236249956118497152,222.4782175561243,17.27123483524173,3.3800069986551984,0.017552549,-30.197977670860908,0.019408386,-7.418670913261621,0.016286781,9.504268,0.51251984,0.18570614,0.3268137,-35.663296,7.4347343,VARIABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.022346912982914146
1236273556963556224,222.51568478473965,17.30007154817235,1.0975261006611885,0.72051907,-15.494737580092586,0.84094197,18.35057819667472,0.7287767,20.2254,2.4963017,1.2610149,1.2352867,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.027680517053194225
1236249990478236160,222.46969329676293,17.26855729486295,1.1281343393553145,0.37959316,-15.160174658726506,0.45127463,-11.681451861921053,0.3556371,19.474255,2.3031445,1.1190338,1.1841106,,,NOT_AVAILABLE,14:49:57.15-17:17:29.33,222.488125,17.29148055555556,0.028900312538168584
